image,p_melanoma,p_benign,outcome,correct,rescued
IMD002.jpg,0.28279371559619904,0.717206284403801,Rescued (Low Prob TP),True,True
IMD004.jpg,0.36798783391714096,0.632012203335762,Rescued (Low Prob TP),True,True
IMD006.jpg,0.8367196321487427,0.16328036226332188,True Positive,True,False
IMD008.jpg,0.0177735032630153,0.9822264760732651,False Negative,False,False
IMD009.jpg,0.01295594172552228,0.9870440363883972,False Negative,False,False
IMD015.jpg,0.25386485643684864,0.7461351156234741,Rescued (Low Prob TP),True,True
IMD016.jpg,0.2922177352011204,0.7077822685241699,Rescued (Low Prob TP),True,True
IMD017.jpg,0.9330391585826874,0.06696080788969994,True Positive,True,False
IMD018.jpg,0.3091295547783375,0.6908704042434692,Rescued (Low Prob TP),True,True
IMD019.jpg,0.36431242898106575,0.6356875598430634,Rescued (Low Prob TP),True,True
IMD020.jpg,0.20035706646740437,0.7996429353952408,Rescued (Low Prob TP),True,True
IMD021.jpg,0.4240911677479744,0.5759088397026062,Rescued (Low Prob TP),True,True
IMD022.jpg,0.21628395840525627,0.7837160378694534,Rescued (Low Prob TP),True,True
IMD023.jpg,0.11038893461227417,0.8896110653877258,False Negative,False,False
IMD024.jpg,0.08556094253435731,0.9144390970468521,False Negative,False,False
IMD025.jpg,0.4492148086428642,0.5507851913571358,Rescued (Low Prob TP),True,True
IMD027.jpg,0.12745999544858932,0.8725399971008301,False Negative,False,False
IMD030.jpg,0.8229059875011444,0.17709402181208134,True Positive,True,False
IMD033.jpg,0.1932127419859171,0.8067872524261475,Rescued (Low Prob TP),True,True
IMD035.jpg,0.15072653628885746,0.8492734730243683,Rescued (Low Prob TP),True,True
IMD037.jpg,0.0977147901430726,0.9022852033376694,False Negative,False,False
IMD039.jpg,0.17300347611308098,0.8269965052604675,Rescued (Low Prob TP),True,True
IMD040.jpg,0.07980166096240282,0.9201983213424683,False Negative,False,False
IMD041.jpg,0.12941109389066696,0.8705889284610748,False Negative,False,False
IMD042.jpg,0.10936952382326126,0.890630453824997,False Negative,False,False
IMD043.jpg,0.15965459868311882,0.8403453826904297,Rescued (Low Prob TP),True,True
IMD044.jpg,0.003196822974132374,0.9968031644821167,False Negative,False,False
IMD047.jpg,0.3537825122475624,0.646217480301857,Rescued (Low Prob TP),True,True
IMD048.jpg,0.3303615599870682,0.6696384102106094,Rescued (Low Prob TP),True,True
IMD049.jpg,0.012815087451599538,0.987184926867485,False Negative,False,False
IMD058.jpg,0.9477194845676422,0.05228051356971264,True Positive,True,False
IMD061.jpg,0.9150380492210388,0.0849619759246707,True Positive,True,False
IMD063.jpg,0.8687874227762222,0.13121256791055202,True Positive,True,False
IMD064.jpg,0.9310914129018784,0.06890857126563787,True Positive,True,False
IMD065.jpg,0.9453791230916977,0.05462087411433458,True Positive,True,False
IMD075.jpg,0.8440897464752197,0.15591024979948997,True Positive,True,False
IMD076.jpg,0.152833454310894,0.8471665233373642,Rescued (Low Prob TP),True,True
IMD078.jpg,0.5507821589708328,0.44921784847974777,True Positive,True,False
IMD080.jpg,0.8937529772520065,0.10624704323709011,True Positive,True,False
